journal,value
IIE Transactions on Healthcare Systems Engineering,0
IIM Kozhikode Society and Management Review,0
IIMB Management Review,0
IISE Transactions,0
IISE Transactions on Healthcare Systems Engineering,0
IISE Transactions on Occupational Ergonomics and Human Factors,1
IIUM Engineering Journal,0
IIUM Law Journal,0
IJS Studies in Judaica,0
Ijtihad: Jurnal Wacana Hukum Islam dan Kemanusiaan,0
Ikala,0
Ikenga,0
Ikon,0
Ikonion Journal of Mathematics,0
Ilahiyat Studies,0
Ilha do Desterro,0
Illinois Classical Studies,0
Illinois Journal of Mathematics,0
Illness Crisis and Loss,0
Iluminace,0
IMA Journal of Applied Mathematics,0
IMA Journal of Management Mathematics,0
IMA Journal of Mathematical Control and Information,0
IMA Journal of Numerical Analysis,0
Image Analysis and Stereology,0
Image and Vision Computing,0
Image Processing On Line,0
Images,0
Images (Poland),0
Imaginaire et Inconscient,0
Imagination and Praxis: Criticality and Creativity in Education and Educational Research,0
"Imagination, Cognition and Personality",0
Imaging Neuroscience,0
Imaging Science Journal,0
Imago - Revista de Emblematica y Cultura Visual,0
Imago Mundi,0
Imago Temporis - Medium Aevum,0
IMF Economic Review,0
IMF Occasional Papers,0
IMF Staff Papers,0
IMISCOE Research Series,0
Immigrants and Minorities,0
Immigration and Asylum Law and Policy in Europe,0
Immunome Research,0
Impact Assessment and Project Appraisal,0
Impact of Empire,0
IMPACT: Studies in Language and Society,0
Implementation and Replication Studies in Mathematics Education,0
Implementation Research and Practice,1
Implicit Religion,0
Impossibilia,0
Improving Schools,0
In Esse: English Studies in Albania,0
"In Gremium. Studies in History, Culture and Politics",0
In Monte Artium,0
In Silico Biology,0
In Silico Plants,0
INCAS Bulletin,0
Incidenza dell' Antico,0
Indagationes Mathematicae,0
Independent Review,0
Index on Censorship,0
Index.comunicacion,0
Indexer,0
India Quarterly,0
India Review,0
Indian Concrete Journal,0
Indian Economic and Social History Review,0
Indian Economic Review,0
Indian Growth and Development Review,0
Indian Historical Review,0
Indian Journal of Agricultural Economics,0
Indian Journal of Computer Science and Engineering,1
Indian Journal of Corporate Governance,0
Indian Journal of Economics and Business,0
Indian Journal of Economics and Development,0
Indian Journal of Engineering,0
Indian Journal of Engineering and Materials Sciences,0
Indian Journal of Extension Education,0
Indian Journal of Finance,0
Indian Journal of Forensic Medicine and Toxicology,0
Indian Journal of Gender Studies,0
Indian Journal of History of Science,0
Indian Journal of Human Development,0
Indian Journal of Information Sources and Services,0
Indian Journal of Intellectual Property Law,0
Indian Journal of Labour Economics,0
Indian Journal of Law and Justice,0
Indian Journal of Marketing,0
Indian Journal of Mathematics,0
Indian Journal of Psychological Medicine,0
Indian Journal of Pure and Applied Mathematics,0
Indian Journal of Sericulture,0
Indian Journal of Social Work,0
Indian Law Review,0
Indian Silk,0
Indian Statistical Institute Series,1
Indiana Journal of Global Legal Studies,0
Indiana Law Journal,0
Indiana University Mathematics Journal,0
Individual Differences Research,0
Indo-European Linguistics,0
Indo-European Linguistics and Classical Philology Yearbook,0
Indogermanische Forschungen,0
Indo-Iranian Journal,0
Indonesia,0
Indonesia and the Malay World,0
Indonesia Law Review,0
Indonesian Food Science and Technology Journal,0
Indonesian Journal of Advocacy and Legal Services,0
Indonesian Journal of Applied Linguistics,0
Indonesian Journal of Criminal Law Studies,0
Indonesian Journal of Electrical Engineering and Computer Science,1
Indonesian Journal of Electrical Engineering and Informatics,1
Indonesian Journal of Environmental Law and Sustainable Development,0
Indonesian Journal of Geography,0
Indonesian Journal of Halal Research,0
Indonesian Journal of International and Comparative Law,0
Indonesian Journal of International Law,0
Indonesian Journal of Islam and Muslim Societies,0
Indonesian Journal of Occupational Safety and Health,0
Indonesian Journal of Public Health,0
Indonesian Journal of Science and Technology,0
Indonesian Journal of Socio-Legal Studies,0
Indonesian Journal of Urban and Environmental Technology,0
Indonesian State Law Review,0
Indoor Air,0
InDret,0
Industrial and Applied Mathematics,0
Industrial and Commercial Training,1
Industrial and Corporate Change,1
Industrial and Engineering Chemistry Research,0
Industrial and Organizational Psychology,1
Industrial Archaeology Review,0
Industrial Engineer,0
Industrial Engineering and Management Systems,1
Industrial Law Journal,0
Industrial Lubrication and Tribology,0
Industrial Management,1
Industrial Management and Data Systems,1
Industrial Marketing Management,1
Industrial Relations,1
Industrial Relations Journal,1
Industrial Robot,0
Industrie Alimentari,0
Industrielle Beziehungen,1
Industry and Higher Education,0
Industry and Innovation,1
Industry Week,0
Infancia y Aprendizaje,0
Infancy,0
Infant and Child Development,0
Infant Behavior and Development,0
Infant Mental Health Journal,0
Infant Observation,0
Infants and Young Children,0
Infectious Disease Modelling,0
"Infectious Diseases: News, Opinions, Training",0
"Infinite Dimensional Analysis, Quantum Probability and Related Topics",0
Infinity Journal,0
Info,0
Infocommunications Journal,0
InfoDesign,0
INFOR,0
Informacijos Mokslai,0
Informal Logic,0
Informatica (Netherlands),0
Informatica (Slovenia),0
Informatics,1
Informatics and Automation,1
Informatics in Education,0
Informatics in Medicine Unlocked,1
Information,1
Information (Switzerland),1
Information and Communications Technology Law,0
Information and Computation,1
Information and Computer Security,0
Information and Culture,0
Information and Inference,1
Information and Learning Science,0
Information and Management,1
Information and Media,0
Information and Organization,1
Information and Software Technology,1
Information Communication and Society,1
Information Design Journal,0
Information Development,0
Information Discovery and Delivery,0
Information Display,0
Information Economics and Policy,0
Information Fusion,1
Information Geometry,0
Information Management and Computer Security,1
Information Polity,0
Information Processing and Management,1
Information Processing in Agriculture,0
Information Processing Letters,1
Information Research,1
Information Resources Management Journal,1
Information Retrieval Journal,1
Information Retrieval Series,1
Information Sciences,1
Information Sciences and Technology,1
Information Sciences Letters,1
Information Security and Cryptography,0
Information Security Journal,0
Information Security Technical Report,0
Information Services and Use,0
Information Society,1
Information Systems,1
Information Systems and e-Business Management,1
Information Systems Frontiers,1
Information Systems Journal,1
Information Systems Management,1
Information Systems Research,1
Information Technologies and International Development,1
Information Technology and Control,1
Information Technology and Disabilities,0
Information Technology and Libraries,0
Information Technology and Management,1
Information Technology and People,1
Information Technology and Tourism,0
Information Technology for Development,1
Information Technology Journal,1
Information Visualization,1
"Information, Medium, and Society",1
Informatsionno-Upravliaiushchie Sistemy,1
"Informatyka, Automatyka, Pomiary w Gospodarce i Ochronie Srodowiska",1
Informing Science,1
INFORMS Journal on Applied Analytics,1
INFORMS Journal on Computing,1
INFORMS Transactions on Education,0
Infosys Science Foundation Series in Mathematical Sciences,0
Infrastructure Asset Management,0
Infrastructures,0
Ingenieria (Colombia),0
Ingenieria e Investigacion,0
Ingenius,0
INMATEH - Agricultural Engineering,0
Inmaterial,0
Inner Asia,0
Innes Review,0
Innovar,0
Innovation and Development,0
Innovation and Emerging Technologies,1
Innovation and Green Development,0
Innovation and Leadership in English Language Teaching,0
Innovation and Management Review,0
Innovation and the Public Sector,0
Innovation in Aging,0
Innovation in Language Learning and Teaching,0
Innovation Journal,0
Innovation Policy and the Economy,0
"Innovation, Technology and Knowledge Management",1
Innovation: The European Journal of Social Science Research,0
Innovations,0
Innovations in Education and Teaching International,0
Innovations in Incidence Geometry,0
Innovations in Systems and Software Engineering,1
Innovative Biosystems and Bioengineering,0
Innovative Food Science and Emerging Technologies,0
Innovative Higher Education,0
Innovative Infrastructure Solutions,0
Innovative Marketing,0
Innsbrucker Beitrage zur Sprachwissenschaft,0
Inorganic Materials: Applied Research,0
Inquiry (United Kingdom),0
Insight,0
Insight on Africa,0
Insight Turkey,0
Insight: Non-Destructive Testing and Condition Monitoring,0
Insights: the UKSG Journal,0
Institutions and Economies,0
Instructed Second Language Acquisition,0
Instructional Science,0
Instrumentation,0
Instrumentation Mesure Metrologie,0
Insulation - The Energy Efficiency Newsletter,0
Insurance Markets and Companies,0
Insurance: Mathematics and Economics,0
Intangible Capital,0
InTech,0
Integers,0
Integral Equations and Operator Theory,0
Integral Transforms and Special Functions,0
Integrated Computer-Aided Engineering,1
Integrated Environmental Assessment and Management,0
Integrated Ferroelectrics,0
Integrating Materials and Manufacturing Innovation,0
Integration,0
Integrative Psychological and Behavioral Science,1
Inteligencia Artificial,1
Intellectual and Developmental Disabilities,0
Intellectual Discourse,0
Intellectual Economics,0
Intellectual History Review,0
Intellectual Property Law Library,0
Intelligence,1
Intelligence and National Security,0
Intelligence and Robotics,1
Intelligence-Based Medicine,1
Intelligent and Converged Networks,1
Intelligent Automation and Soft Computing,1
Intelligent Buildings International,0
Intelligent Computing,1
Intelligent Data Analysis,1
Intelligent Decision Technologies,1
Intelligent Marine Technology and Systems,0
Intelligent Medicine,1
Intelligent Pharmacy,0
Intelligent Service Robotics,1
"Intelligent Systems in Accounting, Finance and Management",1
Intelligent Systems Reference Library,1
Intelligent Systems with Applications,1
"Intelligent Systems, Control and Automation: Science and Engineering",1
Intelligent Transportation Infrastructure,0
Intelligenza Artificiale,1
Interacao em Psicologia,1
Interacting with Computers,1
Interaction Design and Architecture(s),0
Interaction of Mechanics and Mathematics,0
Interaction Studies,1
Interactional Linguistics,0
Interactions (N.Y.),0
Interactive Entertainment Law Review,0
Interactive Learning Environments,1
Interactive Technology and Smart Education,1
Interamerican Journal of Psychology,0
Inter-American Yearbook on Human Rights/Anuario Interamericano de Derechos Humanos,0
Inter-Asia Cultural Studies,0
Interchange,0
Intercultural Communication Education,0
Intercultural Education,0
Intercultural Pragmatics,0
Interdisciplinaria Archaeologica,0
Interdisciplinary Applied Mathematics,0
Interdisciplinary Contributions to Archaeology,0
Interdisciplinary Journal for Religion and Transformation in Contemporary Society,0
"Interdisciplinary Journal of Information, Knowledge, and Management",1
Interdisciplinary Journal of Management Studies,0
Interdisciplinary Journal of Problem-based Learning,0
Interdisciplinary Literary Studies,0
Interdisciplinary Mathematical Sciences,0
Interdisciplinary Political Studies,0
Interdisciplinary Science Reviews,0
Interdisciplinary Sciences - Computational Life Sciences,0
Interdisciplinary Studies of Literature,0
Intereconomics,0
Interest Groups and Advocacy,0
InterEULawEast,0
Interface Focus,0
"Interface: Communication, Health, Education",0
Interfaces,1
Interfaces and Free Boundaries,0
Interfacial Phenomena and Heat Transfer,0
Interiority,0
"Interiors: Design, Architecture, Culture",0
Interlending and Document Supply,0
Intermetallics,0
International Advances in Economic Research,0
International Affairs,0
International Agricultural Engineering Journal,0
International and Comparative Business Law and Public Policy,0
International and Comparative Law Quarterly,0
International and Comparative Law Review,0
International and Development Education,0
International and Multidisciplinary Journal of Social Sciences,0
International Annals of Criminology,0
International Applied Mechanics,0
International Arab Journal of Information Technology,1
International Arbitration Law Review,0
International Archives of the History of Ideas/Archives Internationales d'Histoire des Idees,0
International Area Studies Review,0
International Biomechanics,0
International Bulk Journal,0
International Bulletin of Mission Research,0
International Bulletin of Missionary Research,0
International Business and Management,0
International Business Management,0
International Business Review,0
International Carpet Yearbook,0
International Commentary on Evidence,0
International Commerce Review,0
International Communication Gazette,0
International Community Law Review,0
International Comparative Jurisprudence,0
International Comparative Social Studies,0
"International Computer Conference on Wavelet Active Media Technology and Information Processing, ICCWAMTIP",1
International Computer Science and Engineering Conference,1
"International Conference on Advanced Infocomm Technology, ICAIT",1
"International Conference on Advanced Semiconductor Devices and Microsystems, ASDAM",0
"International Conference on Big Data and Information Analytics, BigDIA",1
"International Conference on Communication Systems and Networks, COMSNETS",1
"International Conference on Computer and Communication Engineering Technology, CCET",1
"International Conference on Computer, Control, Informatics and its Applications, IC3INA",1
International Conference on Concept Lattices and Their Applications,0
"International Conference on eDemocracy and eGovernment, ICEDEG",0
"International Conference on Electrical Engineering and Photonics, EExPolytech",0
"International Conference on Emerging Technologies, ICET",1
"International Conference on Engineering and Emerging Technologies, ICEET",1
"International Conference on Information and Communications Technology, ICOIACT",1
"International Conference on Intelligent Informatics and BioMedical Sciences, ICIIBMS",1
"International Conference on Localization and GNSS, ICL-GNSS",0
"International Conference on Networking, Architecture and Storage, NAS",1
"International Conference on Parallel, Distributed and Grid Computing, PDGC",1
"International Conference on Power and Energy Applications, ICPEA",0
"International Conference on Renewable Energy and Power Engineering, REPE",0
"International Conference on Signal Processing and Communication, ICSC",1
"International Conference on Social Networks Analysis, Management and Security, SNAMS",0
"International Conference on Systems Biology, ISB",0
"International Conference on Web Research, ICWR",0
International Criminal Justice Review,0
International Criminal Law Review,0
International Criminal Law Series,0
International Critical Thought,0
International Data Privacy Law,0
International Development Planning Review,0
International Development Policy,0
International Economic Journal,0
International Economic Review,0
International Economics,0
International Economics and Economic Policy,0
International Education Journal,0
International Education Studies,0
International Electronic Journal of Algebra,0
International Electronic Journal of Elementary Education,0
International Electronic Journal of Environmental Education,0
International Electronic Journal of Geometry,0
International Electronic Journal of Mathematics Education,0
International Entrepreneurship and Management Journal,0
"International Environmental Agreements: Politics, Law and Economics",0
International Environmental Law,0
International Explorations in Outdoor and Environmental Education,0
International Feminist Journal of Politics,0
International Fiber Journal,0
International Finance,0
International Finance Review,0
International Food and Agribusiness Management Review,0
International Ford Madox Ford Studies,0
International Forestry Review,0
International Forum of Psychoanalysis,0
International Gambling Studies,0
International Game Theory Review,0
International Health,0
International History Review,0
International Human Rights Law Review,0
International Humanitarian Law Series,0
"International IEEE Conference proceedings, IS",1
International Indigenous Policy Journal,0
International Information and Library Review,0
International Insolvency Review,0
International Institute of Administrative Sciences Monographs,0
International Interactions,0
International Issues in Adult Education,0
International Journal,0
International Journal for Academic Development,0
International Journal for Computational Civil and Structural Engineering,0
International Journal for Computational Methods in Engineering Science and Mechanics,0
International Journal for Court Administration,0
"International Journal for Crime, Justice and Social Democracy",0
International Journal for Educational and Vocational Guidance,0
International Journal for Educational Integrity,0
"International Journal for History, Culture and Modernity",0
International Journal for Housing Science and Its Applications,0
International Journal for Lesson and Learning Studies,0
International Journal for Multiscale Computational Engineering,0
International Journal for Numerical Methods in Biomedical Engineering,0
International Journal for Philosophy of Religion,0
International Journal for Quality Research,0
International Journal for Research in Learning Disabilities,0
International Journal for Research in Vocational Education and Training,0
International Journal for Research on Service-Learning and Community Engagement,0
International Journal for Simulation and Multidisciplinary Design Optimization,0
International Journal for Technology in Mathematics Education,0
International Journal for the Advancement of Counselling,0
International Journal for the History of Engineering and Technology,0
International Journal for the Psychology of Religion,0
International Journal for the Semiotics of Law,0
International Journal for the Study of New Religions,0
International Journal for the Study of Skepticism,0
International journal for the Study of the Christian Church,0
International Journal for Uncertainty Quantification,1
International Journal of Abrasive Technology,0
International Journal of Academic Medicine,0
International Journal of Accounting,0
International Journal of Accounting and Economics Studies,0
International Journal of Accounting and Information Management,0
International Journal of Accounting Information Systems,0
"International Journal of Accounting, Auditing and Performance Evaluation",0
International Journal of Acoustics and Vibrations,0
International Journal of Action Research,0
International Journal of Ad Hoc and Ubiquitous Computing,1
International Journal of Adaptive Control and Signal Processing,1
International Journal of Adolescence and Youth,0
"International Journal of Adult, Community and Professional Learning",0
International Journal of Advanced Computer Research,1
International Journal of Advanced Computer Science and Applications,1
International Journal of Advanced Intelligence Paradigms,1
International Journal of Advanced Manufacturing Technology,1
International Journal of Advanced Mechatronic Systems,1
International Journal of Advanced Media and Communication,0
International Journal of Advanced Operations Management,0
International Journal of Advanced Research in Engineering and Technology,1
International Journal of Advanced Robotic Systems,1
International Journal of Advanced Science and Engineering,1
International Journal of Advanced Science and Technology,1
International Journal of Advanced Structural Engineering,0
International Journal of Advanced Technology and Engineering Exploration,1
International Journal of Advanced Trends in Computer Science and Engineering,1
International Journal of Advancements in Computing Technology,1
International Journal of Advances in Applied Sciences,0
International Journal of Advances in Intelligent Informatics,1
International Journal of Advances in Soft Computing and its Applications,1
International Journal of Advertising,0
International Journal of Aeroacoustics,0
International Journal of Aeronautical and Space Sciences,0
International Journal of Aerospace Engineering,0
International Journal of Aerospace Innovations,0
International Journal of Aerospace Psychology,0
International Journal of African Higher Education,0
International Journal of African Historical Studies,0
International Journal of African Renaissance Studies,0
International Journal of Ageing and Later Life,0
International Journal of Agent-Oriented Software Engineering,1
International Journal of Agile Systems and Management,0
International Journal of Aging and Human Development,0
International Journal of Agricultural and Biological Engineering,0
International Journal of Agricultural and Environmental Information Systems,0
International Journal of Agricultural and Statistical Sciences,0
International Journal of Agricultural Management,0
"International Journal of Agricultural Science, Research and Technology in Extension and Education Systems",0
International Journal of Agricultural Sustainability,0
International Journal of Air-Conditioning and Refrigeration,0
International Journal of Alcohol and Drug Research,0
International Journal of Algebra and Computation,0
International Journal of Alternative Propulsion,0
International Journal of Alzheimer's Disease,0
International Journal of Ambient Computing and Intelligence,1
International Journal of Ambient Energy,0
International Journal of American Linguistics,0
International Journal of Analysis and Applications,0
International Journal of Anglo-Indian Studies,0
International Journal of Antennas and Propagation,0
International Journal of Anthropology,0
International Journal of Anthropology and Ethnology,0
International Journal of Applied and Computational Mathematics,0
International Journal of Applied Aviation Studies,0
International Journal of Applied Business and Economic Research,0
International Journal of Applied Ceramic Technology,0
International Journal of Applied Cryptography,0
International Journal of Applied Decision Sciences,1
"International Journal of Applied Economics, Finance and Accounting",0
International Journal of Applied Electromagnetics and Mechanics,0
International Journal of Applied Engineering and Technology (London),0
International Journal of Applied Engineering Research,0
International Journal of Applied Engineering Research (The Netherlands),0
International Journal of Applied Geospatial Research,0
International Journal of Applied Linguistics,0
International Journal of Applied Linguistics and English Literature,0
International Journal of Applied Management Science,0
International Journal of Applied Mathematics,0
International Journal of Applied Mathematics and Computer Science,0
International Journal of Applied Mathematics and Statistics,0
International Journal of Applied Mechanics,0
International Journal of Applied Mechanics and Engineering,0
International Journal of Applied Metaheuristic Computing,0
International Journal of Applied Philosophy,0
International Journal of Applied Positive Psychology,0
International Journal of Applied Power Engineering,0
International Journal of Applied Psychoanalytic Studies,0
International Journal of Applied Science and Engineering,0
International Journal of Applied Systemic Studies,0
International Journal of Approximate Reasoning,1
International Journal of Arabic-English Studies,0
"International Journal of Architectonic, Spatial, and Environmental Design",0
International Journal of Architectural Computing,0
International Journal of Architectural Heritage,0
International Journal of Armenian Genocide Studies,0
International Journal of Art and Design Education,0
International Journal of Art Therapy: Inscape,0
International Journal of Artificial Intelligence,1
International Journal of Artificial Intelligence in Education,1
International Journal of Artificial Organs,0
International Journal of Arts and Technology,0
International Journal of Arts Management,0
International Journal of Asia Digital Art and Design,0
International Journal of Asian Business and Information Management,0
International Journal of Asian Christianity,0
International Journal of Asian Studies,0
International Journal of Asia-Pacific Studies,0
International Journal of Assessment and Evaluation,0
International Journal of Audiology,0
International Journal of Auditing,0
International Journal of Automation and Computing,1
International Journal of Automation and Control,1
International Journal of Automation and Smart Technology,1
International Journal of Automation Technology,1
International Journal of Automotive and Mechanical Engineering,0
International Journal of Automotive Engineering,0
International Journal of Automotive Science and Technology,0
International Journal of Automotive Technology,0
International Journal of Automotive Technology and Management,0
International Journal of Autonomous and Adaptive Communications Systems,1
International Journal of Aviation Psychology,0
"International Journal of Aviation, Aeronautics, and Aerospace",0
International Journal of Bank Marketing,0
"International Journal of Banking, Accounting and Finance",0
International Journal of Basic and Applied Sciences,0
International Journal of Behavioral Development,0
International Journal of Behavioral Medicine,0
International Journal of Behavioural and Healthcare Research,0
International Journal of Bifurcation and Chaos,0
International Journal of Bilingual Education and Bilingualism,0
International Journal of Bilingualism,0
International Journal of Bioinformatics Research and Applications,0
International Journal of Bio-Inspired Computation,1
International Journal of Biology and Biomedical Engineering,0
International Journal of Biomaterials,0
International Journal of Biomathematics,0
International Journal of Biomedical Engineering and Technology,0
International Journal of Biomedical Nanoscience and Nanotechnology,0
International Journal of Biomedicine,0
International Journal of Biometrics,0
International Journal of Bioprinting,0
International Journal of Bio-Science and Bio-Technology,0
International Journal of Biostatistics,0
International Journal of Biotechnology,0
International Journal of Bipolar Disorders,0
"International Journal of Body, Mind and Culture",0
International Journal of Building Pathology and Adaptation,0
International Journal of Bullying Prevention,0
International Journal of Business,0
International Journal of Business Analytics,1
International Journal of Business and Emerging Markets,0
International Journal of Business and Globalisation,0
International Journal of Business and Management Science,0
International Journal of Business and Society,0
International Journal of Business and Systems Research,0
International Journal of Business Communication,0
International Journal of Business Continuity and Risk Management,0
International Journal of Business Data Communications and Networking,0
International Journal of Business Environment,0
International Journal of Business Excellence,0
International Journal of Business Governance and Ethics,0
International Journal of Business Information Systems,1
International Journal of Business Innovation and Research,0
International Journal of Business Intelligence and Data Mining,1
International Journal of Business Intelligence Research,1
International Journal of Business Performance and Supply Chain Modelling,0
International Journal of Business Performance Management,0
International Journal of Business Process Integration and Management,0
International Journal of Business Research,0
International Journal of Business Science and Applied Management,0
International Journal of Cancer Research and Prevention,0
International Journal of Care and Caring,0
International Journal of Cartography,0
International Journal of Cast Metals Research,0
International Journal of Central Banking,0
International Journal of Chemical Sciences,0
International Journal of Child Care and Education Policy,0
International Journal of Child-Computer Interaction,0
International Journal of Children's Rights,0
International Journal of Children's Spirituality,0
International Journal of China Studies,0
International Journal of Chinese Education,0
International Journal of Chinese Linguistics,0
International Journal of Christianity and Education,0
International Journal of Circuit Theory and Applications,0
"International Journal of Circuits, Systems and Signal Processing",0
International Journal of Circumpolar Health,0
"International Journal of Civic, Political, and Community Studies",0
International Journal of Civil Engineering,0
International Journal of Civil Engineering and Technology,0
International Journal of Climate Change Strategies and Management,0
International Journal of Clinical and Experimental Hypnosis,0
International Journal of Clinical and Health Psychology,0
International Journal of Clothing Science and Technology,0
International Journal of Cloud Applications and Computing,1
International Journal of Cloud Computing,1
International Journal of Coal Preparation and Utilization,0
International Journal of Cognitive Computing in Engineering,1
International Journal of Cognitive Informatics and Natural Intelligence,1
"International Journal of Cognitive Research in Science, Engineering and Education",0
International Journal of Cognitive Therapy,0
International Journal of COMADEM,0
International Journal of Combinatorial Graph Theory and Applications,0
International Journal of Commerce and Management,0
International Journal of Communication,0
International Journal of Communication and Linguistic Studies,0
International Journal of Communication Networks and Distributed Systems,1
International Journal of Communication Networks and Information Security,1
International Journal of Communication Systems,1
International Journal of Community and Social Development,0
International Journal of Community Based Nursing and Midwifery,0
International Journal of Community Diversity,0
International Journal of Community Music,0
International Journal of Community Well-Being,0
International Journal of Comparative and Applied Criminal Justice,0
International Journal of Comparative Education and Development,0
International Journal of Comparative Labour Law and Industrial Relations,0
International Journal of Comparative Psychology,0
International Journal of Computational and Experimental Science and Engineering,0
International Journal of Computational and Mathematical Sciences,1
International Journal of Computational Biology and Drug Design,0
International Journal of Computational Economics and Econometrics,0
International Journal of Computational Fluid Dynamics,0
International Journal of Computational Geometry and Applications,0
International Journal of Computational Intelligence and Applications,1
International Journal of Computational Intelligence in Control,1
International Journal of Computational Intelligence Systems,1
International Journal of Computational Materials Science and Engineering,0
International Journal of Computational Materials Science and Surface Engineering,0
International Journal of Computational Methods,1
International Journal of Computational Methods and Experimental Measurements,1
International Journal of Computational Science and Engineering,1
International Journal of Computational Vision and Robotics,1
International Journal of Computer Aided Engineering and Technology,1
International Journal of Computer Applications in Technology,1
International Journal of Computer Assisted Radiology and Surgery,0
International Journal of Computer Games Technology,1
International Journal of Computer Information Systems and Industrial Management Applications,1
International Journal of Computer Integrated Manufacturing,1
International Journal of Computer Mathematics,1
International Journal of Computer Mathematics: Computer Systems Theory,1
International Journal of Computer Network and Information Security,1
International Journal of Computer Networks and Applications,1
International Journal of Computer Networks and Communications,1
International Journal of Computer Science and Applications,1
International Journal of Computer Science in Sport,0
International Journal of Computer Theory and Engineering,1
International Journal of Computer Vision,1
International Journal of Computer-Assisted Language Learning and Teaching,0
International Journal of Computerized Dentistry,0
International Journal of Computers and Applications,1
International Journal of Computers and their Applications,1
International Journal of Computers for Mathematical Learning,0
"International Journal of Computers, Communications and Control",1
International Journal of Computer-Supported Collaborative Learning,0
International Journal of Computing,1
International Journal of Computing and Digital Systems,1
International Journal of Computing Science and Mathematics,1
International Journal of Concrete Structures and Materials,0
International Journal of Conflict and Violence,0
International Journal of Conflict Management,0
International Journal of Conservation Science,0
International Journal of Constitutional Law,0
International Journal of Construction Education and Research,0
International Journal of Construction Management,0
International Journal of Construction Supply Chain Management,0
International Journal of Consumer Studies,0
International Journal of Contemporary Hospitality Management,0
International Journal of Contemporary Iraqi Studies,0
International Journal of Continuing Engineering Education and Life-Long Learning,0
International Journal of Control,1
International Journal of Control and Automation,1
International Journal of Control Theory and Applications,1
"International Journal of Control, Automation and Systems",1
International Journal of Cooperative Information Systems,1
International Journal of Corpus Linguistics,0
International Journal of Crashworthiness,0
International Journal of Criminal Justice Sciences,0
International Journal of Criminology and Sociology,0
International Journal of Critical Computer-Based Systems,1
International Journal of Critical Cultural Studies,0
International Journal of Critical Indigenous Studies,0
International Journal of Critical Infrastructure Protection,1
International Journal of Critical Infrastructures,1
International Journal of Critical Pedagogy,0
International Journal of Cross Cultural Management,0
International Journal of Crowd Science,0
International Journal of Cuban Studies,0
International Journal of Cultural Policy,0
International Journal of Cultural Property,0
International Journal of Cultural Studies,0
International Journal of Culture and Mental Health,0
"International Journal of Culture, Tourism and Hospitality Research",0
International Journal of Customer Relationship Marketing and Management,0
"International Journal of Cyber Behavior, Psychology and Learning",1
International Journal of Cyber Criminology,0
International Journal of Cyber Warfare and Terrorism,0
International Journal of Damage Mechanics,0
International Journal of Data Analysis Techniques and Strategies,1
International Journal of Data and Network Science,1
International Journal of Data Mining and Bioinformatics,1
"International Journal of Data Mining, Modelling and Management",1
International Journal of Data Science and Analytics,1
International Journal of Data Warehousing and Mining,1
International Journal of Database Theory and Application,1
International Journal of Decision Support System Technology,1
International Journal of Design,0
International Journal of Design and Nature and Ecodynamics,0
International Journal of Design Creativity and Innovation,0
International Journal of Design Education,0
International Journal of Design in Society,0
International Journal of Design Management and Professional Practice,0
International Journal of Design Sciences and Technology,0
International Journal of Designed Objects,0
International Journal of Development and Conflict,0
International Journal of Development Issues,0
International Journal of Developmental Disabilities,0
International Journal of Developmental Neuroscience,0
International Journal of Developmental Sciences,0
International Journal of Difference Equations,0
International Journal of Differential Equations,0
International Journal of Digital Accounting Research,0
International Journal of Digital Content Technology and its Applications,0
International Journal of Digital Crime and Forensics,0
International Journal of Digital Earth,0
International Journal of Digital Multimedia Broadcasting,0
International Journal of Digital Television,0
International Journal of Diplomacy and Economy,0
International Journal of Disabilities Sports and Health Sciences,0
International Journal of Disability and Social Justice,0
International Journal of Disability Management,0
"International Journal of Disability, Development and Education",0
International Journal of Disaster Resilience in the Built Environment,0
International Journal of Disaster Risk Reduction,0
International Journal of Disaster Risk Science,0
International Journal of Disclosure and Governance,0
International Journal of Discrimination and the Law,0
International Journal of Distance Education Technologies,0
International Journal of Distributed Sensor Networks,1
International Journal of Distributed Systems and Technologies,1
International Journal of Diverse Identities,0
International Journal of Diversity in Education,0
"International Journal of Diversity in Organisations, Communities and Nations",0
International Journal of Divination and Prognostication,0
International Journal of Doctoral Studies,0
International Journal of Dream Research,0
International Journal of Dynamical Systems and Differential Equations,0
International Journal of Dynamics and Control,0
International Journal of E-Adoption,0
International Journal of Early Childhood,0
International Journal of Early Childhood Learning,0
International Journal of Early Childhood Special Education,0
International Journal of Early Years Education,0
International Journal of Earth Sciences and Engineering,0
International Journal of eBusiness and eGovernment Studies,0
International Journal of e-Business Research,0
International Journal of Ecological Economics and Statistics,0
International Journal of Ecology and Development,0
International Journal of Economic Perspectives,0
International Journal of Economic Policy in Emerging Economies,0
International Journal of Economic Policy Studies,0
International Journal of Economic Research,0
International Journal of Economic Theory,0
International Journal of Economics and Business Administration,0
International Journal of Economics and Business Research,0
International Journal of Economics and Finance Studies,0
International Journal of Economics and Financial Issues,0
International Journal of Economics and Management,0
International Journal of Education and Practice,0
International Journal of Education and the Arts,0
International Journal of Education Economics and Development,0
"International Journal of Education in Mathematics, Science and Technology",0
International Journal of Education Through Art,0
International Journal of Educational Advancement,0
International Journal of Educational Development,0
International Journal of Educational Management,0
International Journal of Educational Methodology,0
International Journal of Educational Organization and Leadership,0
